date,time,head
2021/8/13,14:57:37,1018.567
2021/8/13,14:57:47,1018.683
2021/8/13,14:57:57,1018.683
2021/8/13,14:58:07,1018.567
2021/8/13,14:58:17,1018.975
2021/8/13,14:58:27,1018.975
2021/8/13,14:58:37,1018.567
2021/8/13,14:58:47,1019.033
2021/8/13,14:58:57,1019.15
2021/8/13,14:59:07,1018.975
2021/8/13,14:59:17,1018.975
2021/8/13,14:59:27,1018.858
2021/8/13,14:59:37,1019.15
2021/8/13,14:59:47,1018.975
2021/8/13,14:59:57,1018.975
2021/8/13,15:00:07,1018.858
2021/8/13,15:00:17,1019.033
2021/8/13,15:00:27,1018.858
2021/8/13,15:00:37,1019.033
2021/8/13,15:00:47,1018.975
2021/8/13,15:00:57,1018.975
2021/8/13,15:01:07,1018.975
2021/8/13,15:01:17,1018.858
2021/8/13,15:01:27,1018.975
2021/8/13,15:01:37,1018.975
2021/8/13,15:01:47,1018.975
2021/8/13,15:01:57,1018.975
2021/8/13,15:02:07,1018.975
2021/8/13,15:02:17,1018.858
2021/8/13,15:02:27,1018.975
2021/8/13,15:02:37,1018.975
2021/8/13,15:02:47,1018.975
2021/8/13,15:02:57,1018.975
2021/8/13,15:03:07,1018.975
2021/8/13,15:03:17,1018.975
2021/8/13,15:03:27,1018.858
2021/8/13,15:03:37,1018.858
2021/8/13,15:03:47,1018.975
2021/8/13,15:03:57,1019.033
2021/8/13,15:04:07,1019.033
2021/8/13,15:04:17,1018.858
2021/8/13,15:04:27,1018.858
2021/8/13,15:04:37,1018.858
2021/8/13,15:04:47,1019.033
2021/8/13,15:04:57,1018.858
2021/8/13,15:05:07,1018.858
2021/8/13,15:05:17,1018.858
2021/8/13,15:05:27,1018.858
2021/8/13,15:05:37,1018.975
2021/8/13,15:05:47,1018.742
2021/8/13,15:05:57,1018.858
2021/8/13,15:06:07,1018.975
2021/8/13,15:06:17,1018.975
2021/8/13,15:06:27,1018.858
2021/8/13,15:06:37,1018.975
2021/8/13,15:06:47,1018.975
2021/8/13,15:06:57,1018.742
2021/8/13,15:07:07,1018.742
2021/8/13,15:07:17,1018.858
2021/8/13,15:07:27,1018.858
2021/8/13,15:07:37,1018.858
2021/8/13,15:07:47,1018.742
2021/8/13,15:07:57,1018.858
2021/8/13,15:08:07,1018.742
2021/8/13,15:08:17,1018.858
2021/8/13,15:08:27,1018.858
2021/8/13,15:08:37,1018.742
2021/8/13,15:08:47,1018.858
2021/8/13,15:08:57,1018.742
2021/8/13,15:09:07,1018.858
2021/8/13,15:09:17,1018.858
2021/8/13,15:09:27,1018.975
2021/8/13,15:09:37,1018.858
2021/8/13,15:09:47,1018.742
2021/8/13,15:09:57,1018.975
2021/8/13,15:10:07,1018.742
2021/8/13,15:10:17,1018.975
2021/8/13,15:10:27,1018.975
2021/8/13,15:10:37,1018.975
2021/8/13,15:10:47,1018.742
2021/8/13,15:10:57,1018.975
2021/8/13,15:11:07,1019.15
2021/8/13,15:11:17,1018.975
2021/8/13,15:11:27,1019.15
2021/8/13,15:11:37,1019.15
2021/8/13,15:11:47,1019.15
2021/8/13,15:11:57,1019.15
2021/8/13,15:12:07,1018.858
2021/8/13,15:12:17,1018.975
2021/8/13,15:12:27,1018.858
2021/8/13,15:12:37,1018.975
2021/8/13,15:12:47,1018.975
2021/8/13,15:12:57,1018.975
2021/8/13,15:13:07,1018.858
2021/8/13,15:13:17,1019.033
2021/8/13,15:13:27,1019.15
2021/8/13,15:13:37,1019.325
2021/8/13,15:13:47,1019.15
2021/8/13,15:13:57,1019.325
2021/8/13,15:14:07,1018.975
2021/8/13,15:14:17,1019.325
2021/8/13,15:14:27,1019.15
2021/8/13,15:14:37,1019.325
2021/8/13,15:14:47,1019.15
2021/8/13,15:14:57,1018.975
2021/8/13,15:15:07,1019.325
2021/8/13,15:15:17,1019.325
2021/8/13,15:15:27,1019.267
2021/8/13,15:15:37,1019.267
2021/8/13,15:15:47,1019.325
2021/8/13,15:15:57,1019.325
2021/8/13,15:16:07,1019.325
2021/8/13,15:16:17,1019.15
2021/8/13,15:16:27,1019.092
2021/8/13,15:16:37,1019.15
2021/8/13,15:16:47,1018.975
2021/8/13,15:16:57,1018.975
2021/8/13,15:17:07,1018.975
2021/8/13,15:17:17,1018.858
2021/8/13,15:17:27,1018.975
2021/8/13,15:17:37,1018.858
2021/8/13,15:17:47,1018.858
2021/8/13,15:17:57,1018.858
2021/8/13,15:18:07,1018.858
2021/8/13,15:18:17,1018.8
2021/8/13,15:18:27,1018.683
2021/8/13,15:18:37,1018.858
2021/8/13,15:18:47,1018.858
2021/8/13,15:18:57,1018.858
2021/8/13,15:19:07,1018.975
2021/8/13,15:19:17,1018.975
2021/8/13,15:19:27,1018.975
2021/8/13,15:19:37,1018.975
2021/8/13,15:19:47,1019.325
2021/8/13,15:19:57,1019.325
2021/8/13,15:20:07,1019.267
2021/8/13,15:20:17,1019.267
2021/8/13,15:20:27,1019.442
2021/8/13,15:20:37,1018.975
2021/8/13,15:20:47,1019.092
2021/8/13,15:20:57,1018.975
2021/8/13,15:21:07,1018.858
2021/8/13,15:21:17,1018.8
2021/8/13,15:21:27,1018.858
2021/8/13,15:21:37,1018.975
2021/8/13,15:21:47,1018.8
2021/8/13,15:21:57,1019.15
2021/8/13,15:22:07,1018.975
2021/8/13,15:22:17,1019.15
2021/8/13,15:22:27,1018.975
2021/8/13,15:22:37,1018.975
2021/8/13,15:22:47,1018.975
2021/8/13,15:22:57,1019.15
2021/8/13,15:23:07,1019.15
2021/8/13,15:23:17,1019.15
2021/8/13,15:23:27,1019.15
2021/8/13,15:23:37,1019.325
2021/8/13,15:23:47,1019.325
2021/8/13,15:23:57,1019.267
2021/8/13,15:24:07,1019.267
2021/8/13,15:24:17,1019.442
2021/8/13,15:24:27,1019.442
2021/8/13,15:24:37,1019.442
2021/8/13,15:24:47,1019.617
2021/8/13,15:24:57,1019.617
2021/8/13,15:25:07,1019.617
2021/8/13,15:25:17,1019.442
2021/8/13,15:25:27,1019.442
2021/8/13,15:25:37,1019.617
2021/8/13,15:25:47,1019.617
2021/8/13,15:25:57,1019.617
2021/8/13,15:26:07,1019.617
2021/8/13,15:26:17,1019.617
2021/8/13,15:26:27,1019.617
2021/8/13,15:26:37,1019.617
2021/8/13,15:26:47,1019.733
2021/8/13,15:26:57,1019.617
2021/8/13,15:27:07,1019.617
2021/8/13,15:27:17,1019.733
2021/8/13,15:27:27,1019.908
2021/8/13,15:27:37,1019.85
2021/8/13,15:27:47,1019.85
2021/8/13,15:27:57,1019.733
2021/8/13,15:28:07,1019.733
2021/8/13,15:28:17,1019.85
2021/8/13,15:28:27,1020.025
2021/8/13,15:28:37,1019.617
2021/8/13,15:28:47,1019.908
2021/8/13,15:28:57,1019.558
2021/8/13,15:29:07,1019.733
2021/8/13,15:29:17,1019.733
2021/8/13,15:29:27,1019.733
2021/8/13,15:29:37,1019.5
2021/8/13,15:29:47,1020.025
2021/8/13,15:29:57,1019.908
2021/8/13,15:30:07,1019.967
2021/8/13,15:30:17,1019.967
2021/8/13,15:30:27,1019.908
2021/8/13,15:30:37,1019.967
2021/8/13,15:30:47,1019.967
2021/8/13,15:30:57,1019.733
2021/8/13,15:31:07,1019.5
2021/8/13,15:31:17,1019.442
2021/8/13,15:31:27,1019.675
2021/8/13,15:31:37,1019.733
2021/8/13,15:31:47,1019.85
2021/8/13,15:31:57,1019.967
2021/8/13,15:32:07,1019.85
2021/8/13,15:32:17,1019.967
2021/8/13,15:32:27,1020.142
2021/8/13,15:32:37,1020.142
2021/8/13,15:32:47,1020.2
2021/8/13,15:32:57,1020.317
2021/8/13,15:33:07,1020.142
2021/8/13,15:33:17,1020.317
2021/8/13,15:33:27,1020.142
2021/8/13,15:33:37,1020.317
2021/8/13,15:33:47,1019.967
2021/8/13,15:33:57,1020.142
2021/8/13,15:34:07,1019.967
2021/8/13,15:34:17,1020.142
2021/8/13,15:34:27,1020.142
2021/8/13,15:34:37,1020.142
2021/8/13,15:34:47,1020.142
2021/8/13,15:34:57,1020.142
2021/8/13,15:35:07,1131.675
2021/8/13,15:35:17,1021.075
2021/8/13,15:35:27,1018.508
2021/8/13,15:35:37,1013.783
2021/8/13,15:35:47,1018.392
2021/8/13,15:35:57,1146.608
2021/8/13,15:36:07,1257.033
2021/8/13,15:36:17,1264.675
2021/8/13,15:36:27,1293.783
2021/8/13,15:36:37,1271.15
2021/8/13,15:36:47,1270.333
2021/8/13,15:36:57,1269.867
2021/8/13,15:37:07,1269.517
2021/8/13,15:37:17,1269.4
2021/8/13,15:37:27,1269.458
2021/8/13,15:37:37,1269.517
2021/8/13,15:37:47,1269.633
2021/8/13,15:37:57,1269.458
2021/8/13,15:38:07,1269.458
2021/8/13,15:38:17,1269.517
2021/8/13,15:38:27,1269.633
2021/8/13,15:38:37,1269.517
2021/8/13,15:38:47,1269.517
2021/8/13,15:38:57,1269.633
2021/8/13,15:39:07,1269.633
2021/8/13,15:39:17,1269.458
2021/8/13,15:39:27,1269.633
2021/8/13,15:39:37,1269.517
2021/8/13,15:39:47,1269.808
2021/8/13,15:39:57,1269.692
2021/8/13,15:40:07,1269.692
2021/8/13,15:40:17,1269.808
2021/8/13,15:40:27,1269.633
2021/8/13,15:40:37,1269.692
2021/8/13,15:40:47,1269.692
2021/8/13,15:40:57,1269.692
2021/8/13,15:41:07,1269.633
2021/8/13,15:41:17,1269.808
2021/8/13,15:41:27,1269.633
2021/8/13,15:41:37,1269.808
2021/8/13,15:41:47,1269.867
2021/8/13,15:41:57,1269.692
2021/8/13,15:42:07,1269.692
2021/8/13,15:42:17,1269.692
2021/8/13,15:42:27,1269.867
2021/8/13,15:42:37,1269.867
2021/8/13,15:42:47,1269.867
2021/8/13,15:42:57,1269.808
2021/8/13,15:43:07,1269.867
2021/8/13,15:43:17,1269.692
2021/8/13,15:43:27,1269.633
2021/8/13,15:43:37,1269.867
2021/8/13,15:43:47,1269.808
2021/8/13,15:43:57,1269.808
2021/8/13,15:44:07,1269.867
2021/8/13,15:44:17,1269.808
2021/8/13,15:44:27,1269.867
2021/8/13,15:44:37,1269.867
2021/8/13,15:44:47,1269.867
2021/8/13,15:44:57,1269.867
2021/8/13,15:45:07,1269.808
2021/8/13,15:45:17,1269.808
2021/8/13,15:45:27,1269.867
2021/8/13,15:45:37,1269.867
2021/8/13,15:45:47,1269.867
2021/8/13,15:45:57,1269.867
2021/8/13,15:46:07,1269.867
2021/8/13,15:46:17,1270.042
2021/8/13,15:46:27,1269.867
2021/8/13,15:46:37,1269.867
2021/8/13,15:46:47,1269.692
2021/8/13,15:46:57,1269.692
2021/8/13,15:47:07,1270.042
2021/8/13,15:47:17,1269.867
2021/8/13,15:47:27,1269.867
2021/8/13,15:47:37,1269.692
2021/8/13,15:47:47,1269.867
2021/8/13,15:47:57,1269.692
2021/8/13,15:48:07,1269.692
2021/8/13,15:48:17,1269.692
2021/8/13,15:48:27,1269.867
2021/8/13,15:48:37,1269.925
2021/8/13,15:48:47,1269.925
2021/8/13,15:48:57,1269.808
2021/8/13,15:49:07,1269.925
2021/8/13,15:49:17,1269.925
2021/8/13,15:49:27,1269.925
2021/8/13,15:49:37,1269.925
2021/8/13,15:49:47,1269.925
2021/8/13,15:49:57,1269.925
2021/8/13,15:50:07,1270.042
2021/8/13,15:50:17,1270.042
2021/8/13,15:50:27,1270.042
2021/8/13,15:50:37,1270.042
2021/8/13,15:50:47,1269.925
2021/8/13,15:50:57,1270.042
2021/8/13,15:51:07,1270.042
2021/8/13,15:51:17,1270.042
2021/8/13,15:51:27,1270.042
2021/8/13,15:51:37,1270.042
2021/8/13,15:51:47,1270.042
2021/8/13,15:51:57,1270.042
2021/8/13,15:52:07,1270.042
2021/8/13,15:52:17,1270.217
2021/8/13,15:52:27,1270.042
2021/8/13,15:52:37,1270.217
2021/8/13,15:52:47,1270.042
2021/8/13,15:52:57,1270.217
2021/8/13,15:53:07,1270.217
2021/8/13,15:53:17,1270.217
2021/8/13,15:53:27,1270.042
2021/8/13,15:53:37,1270.217
2021/8/13,15:53:47,1270.217
2021/8/13,15:53:57,1270.217
2021/8/13,15:54:07,1270.217
2021/8/13,15:54:17,1270.042
2021/8/13,15:54:27,1270.217
2021/8/13,15:54:37,1270.042
2021/8/13,15:54:47,1270.042
2021/8/13,15:54:57,1270.217
2021/8/13,15:55:07,1270.217
2021/8/13,15:55:17,1270.217
2021/8/13,15:55:27,1270.217
2021/8/13,15:55:37,1270.217
2021/8/13,15:55:47,1270.1
2021/8/13,15:55:57,1270.1
2021/8/13,15:56:07,1270.217
2021/8/13,15:56:17,1270.217
2021/8/13,15:56:27,1270.1
2021/8/13,15:56:37,1269.808
2021/8/13,15:56:47,1268.175
2021/8/13,15:56:57,1266.133
2021/8/13,15:57:07,1251.317
2021/8/13,15:57:17,1261.35
2021/8/13,15:57:27,1254.233
2021/8/13,15:57:37,1248.517
2021/8/13,15:57:47,1267.825
2021/8/13,15:57:57,1268.758
2021/8/13,15:58:07,1268.817
2021/8/13,15:58:17,1268.758
2021/8/13,15:58:27,1268.758
2021/8/13,15:58:37,1268.817
2021/8/13,15:58:47,1268.642
2021/8/13,15:58:57,1268.758
2021/8/13,15:59:07,1268.7
2021/8/13,15:59:17,1268.875
2021/8/13,15:59:27,1268.817
2021/8/13,15:59:37,1268.642
2021/8/13,15:59:47,1268.875
2021/8/13,15:59:57,1268.817
2021/8/13,16:00:07,1268.817
2021/8/13,16:00:17,1268.758
2021/8/13,16:00:27,1268.817
2021/8/13,16:00:37,1268.875
2021/8/13,16:00:47,1268.758
2021/8/13,16:00:57,1268.875
2021/8/13,16:01:07,1268.875
2021/8/13,16:01:17,1268.817
2021/8/13,16:01:27,1268.642
2021/8/13,16:01:37,1268.992
2021/8/13,16:01:47,1268.875
2021/8/13,16:01:57,1268.875
2021/8/13,16:02:07,1268.875
2021/8/13,16:02:17,1268.875
2021/8/13,16:02:27,1268.875
2021/8/13,16:02:37,1268.875
2021/8/13,16:02:47,1268.817
2021/8/13,16:02:57,1268.875
2021/8/13,16:03:07,1268.992
2021/8/13,16:03:17,1268.992
2021/8/13,16:03:27,1268.992
2021/8/13,16:03:37,1268.992
2021/8/13,16:03:47,1268.992
2021/8/13,16:03:57,1268.875
2021/8/13,16:04:07,1268.758
2021/8/13,16:04:17,1268.875
2021/8/13,16:04:27,1268.817
2021/8/13,16:04:37,1268.817
2021/8/13,16:04:47,1268.992
2021/8/13,16:04:57,1268.992
2021/8/13,16:05:07,1268.992
2021/8/13,16:05:17,1268.817
2021/8/13,16:05:27,1269.05
2021/8/13,16:05:37,1268.875
2021/8/13,16:05:47,1268.817
2021/8/13,16:05:57,1268.875
2021/8/13,16:06:07,1268.817
2021/8/13,16:06:17,1268.875
2021/8/13,16:06:27,1268.875
2021/8/13,16:06:37,1268.875
2021/8/13,16:06:47,1268.875
2021/8/13,16:06:57,1268.875
2021/8/13,16:07:07,1268.875
2021/8/13,16:07:17,1268.875
2021/8/13,16:07:27,1268.875
2021/8/13,16:07:37,1268.875
2021/8/13,16:07:47,1268.875
2021/8/13,16:07:57,1268.875
2021/8/13,16:08:07,1268.817
2021/8/13,16:08:17,1268.875
2021/8/13,16:08:27,1268.875
2021/8/13,16:08:37,1268.642
2021/8/13,16:08:47,1268.875
2021/8/13,16:08:57,1268.817
2021/8/13,16:09:07,1268.992
2021/8/13,16:09:17,1268.875
2021/8/13,16:09:27,1268.875
2021/8/13,16:09:37,1268.875
2021/8/13,16:09:47,1268.875
2021/8/13,16:09:57,1268.875
2021/8/13,16:10:07,1268.875
2021/8/13,16:10:17,1268.875
2021/8/13,16:10:27,1268.817
2021/8/13,16:10:37,1268.875
2021/8/13,16:10:47,1268.875
2021/8/13,16:10:57,1268.875
2021/8/13,16:11:07,1268.817
2021/8/13,16:11:17,1268.817
2021/8/13,16:11:27,1268.875
2021/8/13,16:11:37,1268.875
2021/8/13,16:11:47,1268.642
2021/8/13,16:11:57,1268.758
2021/8/13,16:12:07,1268.992
2021/8/13,16:12:17,1268.817
2021/8/13,16:12:27,1268.817
2021/8/13,16:12:37,1268.875
2021/8/13,16:12:47,1268.875
2021/8/13,16:12:57,1268.875
2021/8/13,16:13:07,1268.642
2021/8/13,16:13:17,1268.642
2021/8/13,16:13:27,1268.758
2021/8/13,16:13:37,1268.817
2021/8/13,16:13:47,1268.817
2021/8/13,16:13:57,1268.758
2021/8/13,16:14:07,1268.642
2021/8/13,16:14:17,1268.875
2021/8/13,16:14:27,1019.442
2021/8/13,16:14:37,1018.8
2021/8/13,16:14:47,1018.45
2021/8/13,16:14:57,1018.333
2021/8/13,16:15:07,1018.333
2021/8/13,16:15:17,1018.042
2021/8/13,16:15:27,1018.042
2021/8/13,16:15:37,1018.042
2021/8/13,16:15:47,1017.983
2021/8/13,16:15:57,1018.217
2021/8/13,16:16:07,1017.867
2021/8/13,16:16:17,1018.158
2021/8/13,16:16:27,1018.1
2021/8/13,16:16:37,1018.333
2021/8/13,16:16:47,1018.45
2021/8/13,16:16:57,1018.625
2021/8/13,16:17:07,1018.45
2021/8/13,16:17:17,1018.625
2021/8/13,16:17:27,1018.8
2021/8/13,16:17:37,1018.8
2021/8/13,16:17:47,1018.8
2021/8/13,16:17:57,1018.45
2021/8/13,16:18:07,1018.275
2021/8/13,16:18:17,1018.45
2021/8/13,16:18:27,1301.25
2021/8/13,16:18:37,1411.033
2021/8/13,16:18:47,1412.958
2021/8/13,16:18:57,1451.342
2021/8/13,16:19:07,1437.633
2021/8/13,16:19:17,1435.533
2021/8/13,16:19:27,1430.983
2021/8/13,16:19:37,1430.167
2021/8/13,16:19:47,1429.875
2021/8/13,16:19:57,1429.7
2021/8/13,16:20:07,1429.35
2021/8/13,16:20:17,1429.233
2021/8/13,16:20:27,1429.058
2021/8/13,16:20:37,1428.883
2021/8/13,16:20:47,1428.708
2021/8/13,16:20:57,1428.592
2021/8/13,16:21:07,1428.417
2021/8/13,16:21:17,1428.242
2021/8/13,16:21:27,1427.95
2021/8/13,16:21:37,1427.775
2021/8/13,16:21:47,1427.6
2021/8/13,16:21:57,1427.425
2021/8/13,16:22:07,1427.25
2021/8/13,16:22:17,1427.25
2021/8/13,16:22:27,1427.133
2021/8/13,16:22:37,1426.958
2021/8/13,16:22:47,1426.783
2021/8/13,16:22:57,1426.783
2021/8/13,16:23:07,1426.608
2021/8/13,16:23:17,1426.492
2021/8/13,16:23:27,1426.433
2021/8/13,16:23:37,1426.317
2021/8/13,16:23:47,1426.142
2021/8/13,16:23:57,1426.142
2021/8/13,16:24:07,1426.142
2021/8/13,16:24:17,1425.675
2021/8/13,16:24:27,1425.792
2021/8/13,16:24:37,1425.792
2021/8/13,16:24:47,1425.617
2021/8/13,16:24:57,1425.675
2021/8/13,16:25:07,1425.5
2021/8/13,16:25:17,1425.5
2021/8/13,16:25:27,1425.325
2021/8/13,16:25:37,1425.325
2021/8/13,16:25:47,1425.325
2021/8/13,16:25:57,1425.15
2021/8/13,16:26:07,1425.15
2021/8/13,16:26:17,1424.975
2021/8/13,16:26:27,1424.975
2021/8/13,16:26:37,1424.975
2021/8/13,16:26:47,1424.858
2021/8/13,16:26:57,1424.858
2021/8/13,16:27:07,1424.683
2021/8/13,16:27:17,1424.683
2021/8/13,16:27:27,1424.508
2021/8/13,16:27:37,1424.508
2021/8/13,16:27:47,1424.508
2021/8/13,16:27:57,1424.333
2021/8/13,16:28:07,1424.333
2021/8/13,16:28:17,1424.333
2021/8/13,16:28:27,1424.333
2021/8/13,16:28:37,1424.158
2021/8/13,16:28:47,1424.158
2021/8/13,16:28:57,1424.158
2021/8/13,16:29:07,1424.158
2021/8/13,16:29:17,1424.042
2021/8/13,16:29:27,1424.042
2021/8/13,16:29:37,1424.042
2021/8/13,16:29:47,1424.042
2021/8/13,16:29:57,1423.867
2021/8/13,16:30:07,1423.867
2021/8/13,16:30:17,1423.867
2021/8/13,16:30:27,1423.692
2021/8/13,16:30:37,1423.692
2021/8/13,16:30:47,1423.692
